Latitude,Longitude,Midpoint Elevation (ft),Lithology
47.56843598,-122.4074796,76.55,Fill
47.56843598,-122.4074796,73.05,Clay
47.56843598,-122.4074796,69.55,Sandy silt
47.56843598,-122.4074796,68.3,Sand
47.56843598,-122.4074796,67.3,Sand
47.56843598,-122.4074796,66.05,Sandy silt
47.56843598,-122.4074796,64.55,Sand
47.56843598,-122.4074796,63.05,Clayey silt
47.54644575,-122.3973182,180.55,Silty sand
47.54644575,-122.3973182,173.05,Silty sand
47.54644575,-122.3973182,166.3,Silty sand
47.54673974,-122.3974502,176.4,Silty sand
47.54673974,-122.3974502,168.9,Silty sand
47.54673974,-122.3974502,162.15,Silty sand
47.54326497,-122.3956299,149.25,Sand
47.54326497,-122.3956299,136.0,Silty sand
47.5762026,-122.3986842,280.2,Fill
47.5762026,-122.3986842,275.95,Sandy silt
47.5762026,-122.3986842,272.7,Silty sand
47.5817845,-122.3992476,165.3,Undefined
47.5817845,-122.3992476,138.8,Undefined
47.53996136,-122.3901916,181.6999999985,Fill
47.53996136,-122.3901916,169.55,Sand
47.54017433,-122.3897415,188.5350000025,Asphalt / concrete
47.54017433,-122.3897415,186.6,Silty sand
47.54017433,-122.3897415,185.1,Sand
47.53999777,-122.3896381,188.99999999850002,Asphalt / concrete
47.53999777,-122.3896381,185.6,Sand
47.54023485,-122.3893913,188.99999999850002,Asphalt / concrete
47.54023485,-122.3893913,187.1,Silty sand
47.54023485,-122.3893913,185.6,Sand
47.54046427,-122.389448,189.09999999849998,Asphalt / concrete
47.54046427,-122.389448,186.2,Sand
47.54045329,-122.3889415,202.4499999995,Fill
47.54045329,-122.3889415,196.0,Sand
47.54045329,-122.3889415,180.75,Sand
47.54022712,-122.3890226,202.7499999995,Fill
47.54022712,-122.3890226,194.8,Sand
47.54022712,-122.3890226,188.3,Sand
47.54022712,-122.3890226,177.8,Sand
47.54022712,-122.3890226,167.55,Sand
47.5400681,-122.389021,201.14999999949998,Fill
47.5400681,-122.389021,194.7,Silty sand
47.5400681,-122.389021,190.2,Sand
47.5400681,-122.389021,186.2,Sand
47.5400681,-122.389021,176.95,Sand
47.54471091,-122.3859494,234.049999994,Sand
47.54471091,-122.3859494,230.95,Silty sand
47.54471091,-122.3859494,223.2,Silty sand
47.54471091,-122.3859494,213.7,Sand
47.54454749,-122.3863891,228.600000024,Silt
47.54454749,-122.3863891,227.8000000715,Sand
47.54454749,-122.3863891,224.7000000475,Silty sand
47.54454749,-122.3863891,214.25,Sand
