Latitude,Longitude,Test Elevation (ft),SPTN
47.56843598,-122.4074796,77.3,3.0
47.56843598,-122.4074796,75.8,12.0
47.56843598,-122.4074796,74.3,8.0
47.56843598,-122.4074796,73.3,7.0
47.56843598,-122.4074796,71.8,7.0
47.56843598,-122.4074796,70.3,6.0
47.56843598,-122.4074796,68.8,5.0
47.56843598,-122.4074796,67.8,6.0
47.56843598,-122.4074796,66.8,16.0
47.56843598,-122.4074796,65.3,37.0
47.56843598,-122.4074796,63.8,31.0
47.54644575,-122.3973182,180.3,4.0
47.54644575,-122.3973182,178.3,13.0
47.54644575,-122.3973182,172.8,12.0
47.54644575,-122.3973182,170.8,17.0
47.54644575,-122.3973182,166.8,52.0
47.54673974,-122.3974502,175.9,14.0
47.54673974,-122.3974502,174.4,14.0
47.54673974,-122.3974502,166.9,22.0
47.54673974,-122.3974502,162.4,35.0
47.54326497,-122.3956299,154.5,23.0
47.54326497,-122.3956299,150.0,63.0
47.54326497,-122.3956299,144.5,39.0
47.54326497,-122.3956299,139.0,74.0
47.54326497,-122.3956299,134.5,43.0
47.54326497,-122.3956299,130.0,31.0
47.5762026,-122.3986842,279.7,2.0
47.5762026,-122.3986842,276.7,10.0
47.5762026,-122.3986842,274.2,15.0
47.5817845,-122.3992476,177.3,6.0
47.5817845,-122.3992476,172.3,13.0
47.5817845,-122.3992476,168.3,12.0
47.5817845,-122.3992476,163.3,13.0
47.5817845,-122.3992476,157.3,16.0
47.5817845,-122.3992476,153.3,18.0
47.5817845,-122.3992476,147.3,13.0
47.5817845,-122.3992476,144.3,18.0
47.5817845,-122.3992476,137.3,25.0
47.5817845,-122.3992476,132.3,29.0
47.5817845,-122.3992476,128.3,19.0
47.53996136,-122.3901916,181.8,18.0
47.53996136,-122.3901916,176.8,63.0
47.53996136,-122.3901916,171.8,40.0
47.53996136,-122.3901916,166.8,35.0
47.53996136,-122.3901916,161.8,31.0
47.54017433,-122.3897415,188.6,13.0
47.54017433,-122.3897415,187.1,14.0
47.54017433,-122.3897415,185.6,25.0
47.53999777,-122.3896381,189.1,18.0
47.53999777,-122.3896381,186.1,19.0
47.54023485,-122.3893913,189.1,40.0
47.54023485,-122.3893913,187.6,22.0
47.54023485,-122.3893913,186.1,31.0
47.54046427,-122.389448,189.2,10.0
47.54046427,-122.389448,187.7,32.0
47.54046427,-122.389448,186.2,45.0
47.54045329,-122.3889415,202.5,5.0
47.54045329,-122.3889415,197.5,20.0
47.54045329,-122.3889415,182.5,50.0
47.54045329,-122.3889415,177.5,69.0
47.54022712,-122.3890226,202.8,2.0
47.54022712,-122.3890226,192.8,88.0
47.54022712,-122.3890226,187.8,58.0
47.54022712,-122.3890226,182.8,58.0
47.54022712,-122.3890226,177.8,55.0
47.54022712,-122.3890226,172.8,45.0
47.54022712,-122.3890226,167.8,38.0
47.5400681,-122.389021,201.2,17.0
47.5400681,-122.389021,196.2,44.0
47.5400681,-122.389021,191.2,44.0
47.5400681,-122.389021,186.2,56.0
47.5400681,-122.389021,176.2,69.0
47.54471091,-122.3859494,235.7,29.0
47.54471091,-122.3859494,234.2,38.0
47.54471091,-122.3859494,231.7,82.0
47.54471091,-122.3859494,229.2,43.0
47.54471091,-122.3859494,224.2,41.0
47.54471091,-122.3859494,219.7,57.0
47.54471091,-122.3859494,214.2,71.0
47.54471091,-122.3859494,211.7,69.0
47.54454749,-122.3863891,229.0,21.0
47.54454749,-122.3863891,227.5,31.0
47.54454749,-122.3863891,223.0,34.0
47.54454749,-122.3863891,217.5,86.0
47.54454749,-122.3863891,207.5,86.0
47.54420898,-122.3862962,228.8,5.0
