Borehole ID,Latitude,Longitude,Elevation (ft),In-situ Test #,Test Elevation (ft),SPTN,Layer #,Layer Top Elevation (ft),Layer Bottom Elevation (ft),Soil Description,Lithology,USCS,Density / Consistency
21,47.56843598,-122.4074796,77.3,1,77.3,3.0,1,77.3,75.8,"Grayish brown, dry, very loose, well graded sand with trace silt.",Fill,Fill,
21,47.56843598,-122.4074796,77.3,2,75.8,12.0,2,75.8,70.3,"Clay, medium gray, stiff, slightly moist, with some rootlets and organic staining.",Clay,CH,Stiff
21,47.56843598,-122.4074796,77.3,3,74.3,8.0,2,75.8,70.3,"Clay, medium gray, stiff, slightly moist, with some rootlets and organic staining.",Clay,CH,Medium Stiff
21,47.56843598,-122.4074796,77.3,4,73.3,7.0,2,75.8,70.3,"Clay, medium gray, stiff, slightly moist, with some rootlets and organic staining.",Clay,CH,Medium Stiff
21,47.56843598,-122.4074796,77.3,5,71.8,7.0,2,75.8,70.3,"Clay, medium gray, stiff, slightly moist, with some rootlets and organic staining.",Clay,CH,Medium Stiff
21,47.56843598,-122.4074796,77.3,6,70.3,6.0,3,70.3,68.8,"Sandy silt, brown, medium stiff, wet, over sandy clay, mottled brown, medium stiff, with minor gravel.",Sandy silt,ML,Medium Stiff
21,47.56843598,-122.4074796,77.3,7,68.8,5.0,4,68.8,67.8,"Sand, rust brown to brown, loose, wet, with minor silt.",Sand,SW,Loose
21,47.56843598,-122.4074796,77.3,8,67.8,6.0,5,67.8,66.8,"Sand, rust brown, loose, moist, some oxidation over clayey silt, gray medium stiff, moist.",Sand,SW,Loose
21,47.56843598,-122.4074796,77.3,9,66.8,16.0,6,66.8,65.3,"Sandy silt, mottled gray and rusty brown, very stiff, moist, over sand, brown, medium dense, moist, poorly graded, fine grained.",Sandy silt,ML,Very stiff
21,47.56843598,-122.4074796,77.3,10,65.3,37.0,7,65.3,63.8,"Sand, brown, dense, moist to wet, well graded with minor gravel.",Sand,SW,Dense
21,47.56843598,-122.4074796,77.3,11,63.8,31.0,8,63.8,62.3,"Clayey silt, mottled rust brown and brown, grading to gray below 14 ft, with trace fine sand, moist, hard, and weakly bedded.",Clayey silt,ML,Hard
24,47.54644575,-122.3973182,183.3,1,180.3,4.0,2,182.3,178.8,"Brown to light brown, silty, fine to medium sand, some gravel, moist, loose.",Silty sand,SM,Very loose
24,47.54644575,-122.3973182,183.3,2,178.3,13.0,3,178.8,167.3,"Brown, silty, fine to medium sand, some gravel to gravelly, medium to coarse sand lenses, very moist, medium-dense.",Silty sand,SM,Medium Dense
24,47.54644575,-122.3973182,183.3,3,172.8,12.0,3,178.8,167.3,"Brown, silty, fine to medium sand, some gravel to gravelly, medium to coarse sand lenses, very moist, medium-dense.",Silty sand,SM,Medium Dense
24,47.54644575,-122.3973182,183.3,4,170.8,17.0,3,178.8,167.3,"Brown, silty, fine to medium sand, some gravel to gravelly, medium to coarse sand lenses, very moist, medium-dense.",Silty sand,SM,Medium Dense
24,47.54644575,-122.3973182,183.3,5,166.8,52.0,4,167.3,165.3,"Brown, silty, medium sand, gravelly, moist, dense.",Silty sand,SM,Very Dense
25,47.54673974,-122.3974502,178.9,1,175.9,14.0,2,177.9,174.9,"Brown, silty, fine to medium sand, moist, loose to medium-dense.",Silty sand,SM,Medium Dense
25,47.54673974,-122.3974502,178.9,2,174.4,14.0,3,174.9,162.9,"Brown, silty, medium sand, some gravel, sand lenses, moist, medium-dense.",Silty sand,SM,Medium Dense
25,47.54673974,-122.3974502,178.9,3,166.9,22.0,3,174.9,162.9,"Brown, silty, medium sand, some gravel, sand lenses, moist, medium-dense.",Silty sand,SM,Medium Dense
25,47.54673974,-122.3974502,178.9,4,162.4,35.0,4,162.9,161.4,"Bluish-gray, silty, fine sand, some gravel, moist, dense.",Silty sand,SM,Dense
26,47.54326497,-122.3956299,159.5,1,154.5,23.0,3,156.0,142.5,"Light brown, slightly silty, medium sand, some gravel to gravelly, moist, medium-dense.",Sand,SW,Medium Dense
26,47.54326497,-122.3956299,159.5,2,150.0,63.0,3,156.0,142.5,"Light brown, slightly silty, medium sand, some gravel to gravelly, moist, medium-dense.",Sand,SW,Very Dense
26,47.54326497,-122.3956299,159.5,3,144.5,39.0,3,156.0,142.5,"Light brown, slightly silty, medium sand, some gravel to gravelly, moist, medium-dense.",Sand,SW,Dense
26,47.54326497,-122.3956299,159.5,4,139.0,74.0,4,142.5,129.5,"Gray, silty, medium sand, trace to some gravel, very moist, dense, with hard silt lenses.",Silty sand,SM,Very Dense
26,47.54326497,-122.3956299,159.5,5,134.5,43.0,4,142.5,129.5,"Gray, silty, medium sand, trace to some gravel, very moist, dense, with hard silt lenses.",Silty sand,SM,Dense
26,47.54326497,-122.3956299,159.5,6,130.0,31.0,4,142.5,129.5,"Gray, silty, medium sand, trace to some gravel, very moist, dense, with hard silt lenses.",Silty sand,SM,Dense
36,47.5762026,-122.3986842,282.7,1,279.7,2.0,1,282.7,277.7,"Brown, gravelly, silt and sand, moist.",Fill,Fill,
36,47.5762026,-122.3986842,282.7,2,276.7,10.0,2,277.7,274.2,"Mottled to tan, sandy silt, moist.",Sandy silt,ML,Stiff
36,47.5762026,-122.3986842,282.7,3,274.2,15.0,3,274.2,271.2,"Brown, silty sand, moist to wet.",Silty sand,SM,Medium Dense
37,47.5817845,-122.3992476,180.3,1,177.3,6.0,1,180.3,150.3,"Light brown, sandy material.",Undefined,incorrect,
37,47.5817845,-122.3992476,180.3,2,172.3,13.0,1,180.3,150.3,"Light brown, sandy material.",Undefined,incorrect,
37,47.5817845,-122.3992476,180.3,3,168.3,12.0,1,180.3,150.3,"Light brown, sandy material.",Undefined,incorrect,
37,47.5817845,-122.3992476,180.3,4,163.3,13.0,1,180.3,150.3,"Light brown, sandy material.",Undefined,incorrect,
37,47.5817845,-122.3992476,180.3,5,157.3,16.0,1,180.3,150.3,"Light brown, sandy material.",Undefined,incorrect,
37,47.5817845,-122.3992476,180.3,6,153.3,18.0,1,180.3,150.3,"Light brown, sandy material.",Undefined,incorrect,
37,47.5817845,-122.3992476,180.3,7,147.3,13.0,2,150.3,127.30000000000001,"Silty, clayey, sandy material.",Undefined,incorrect,
37,47.5817845,-122.3992476,180.3,8,144.3,18.0,2,150.3,127.30000000000001,"Silty, clayey, sandy material.",Undefined,incorrect,
37,47.5817845,-122.3992476,180.3,9,137.3,25.0,2,150.3,127.30000000000001,"Silty, clayey, sandy material.",Undefined,incorrect,
37,47.5817845,-122.3992476,180.3,10,132.3,29.0,2,150.3,127.30000000000001,"Silty, clayey, sandy material.",Undefined,incorrect,
37,47.5817845,-122.3992476,180.3,11,128.3,19.0,2,150.3,127.30000000000001,"Silty, clayey, sandy material.",Undefined,incorrect,
72,47.53996136,-122.3901916,184.8,1,181.8,18.0,2,184.599999997,178.8,"Silty sand with gravel; brown, fine to medium sand, coarse gravel, medium dense, moist.",Fill,Fill,
72,47.53996136,-122.3901916,184.8,2,176.8,63.0,3,178.8,160.3,"Sand; yellow brown, fine to coarse, trace silt and gravel, very dense, moist.",Sand,SW,Very Dense
72,47.53996136,-122.3901916,184.8,3,171.8,40.0,3,178.8,160.3,"Sand; yellow brown, fine to coarse, trace silt and gravel, very dense, moist.",Sand,SW,Dense
72,47.53996136,-122.3901916,184.8,4,166.8,35.0,3,178.8,160.3,"Sand; yellow brown, fine to coarse, trace silt and gravel, very dense, moist.",Sand,SW,Dense
72,47.53996136,-122.3901916,184.8,5,161.8,31.0,3,178.8,160.3,"Sand; yellow brown, fine to coarse, trace silt and gravel, very dense, moist.",Sand,SW,Dense
74,47.54017433,-122.3897415,188.6,1,188.6,13.0,1,188.6,188.470000005,Asphalt.,Asphalt / concrete,Asphalt or concrete,
74,47.54017433,-122.3897415,188.6,2,187.1,14.0,3,187.1,186.1,"Silty sand, dark brown, fine to medium, medium dense, moist.",Silty sand,SM,Medium Dense
74,47.54017433,-122.3897415,188.6,3,185.6,25.0,4,186.1,184.1,"Sand; gray, fine to coarse, trace to few silt, trace gravel, medium dense, moist.",Sand,SW,Dense
75,47.53999777,-122.3896381,189.1,1,189.1,18.0,1,189.1,188.89999999699998,Asphalt.,Asphalt / concrete,Asphalt or concrete,
75,47.53999777,-122.3896381,189.1,3,186.1,19.0,4,186.6,184.6,"Sand; gray, fine to coarse, trace to few silt, trace gravel, medium dense, moist.",Sand,SW,Medium Dense
76,47.54023485,-122.3893913,189.1,1,189.1,40.0,1,189.1,188.89999999699998,Asphalt.,Asphalt / concrete,Asphalt or concrete,
76,47.54023485,-122.3893913,189.1,2,187.6,22.0,3,187.6,186.6,"Silty sand with gravel; gray brown, fine to medium, trace charcoal, medium dense, moist, weathered.",Silty sand,SM,Medium Dense
76,47.54023485,-122.3893913,189.1,3,186.1,31.0,4,186.6,184.6,"Sand; gray, fine to coarse, trace to few silt, trace gravel, medium dense, moist.",Sand,SW,Dense
77,47.54046427,-122.389448,189.2,1,189.2,10.0,1,189.2,188.99999999699997,Asphalt.,Asphalt / concrete,Asphalt or concrete,
77,47.54046427,-122.389448,189.2,2,187.7,32.0,3,187.7,184.7,"Sand; gray-brown, fine to medium, trace gravel and silt, medium dense, moist.",Sand,SW,Dense
77,47.54046427,-122.389448,189.2,3,186.2,45.0,3,187.7,184.7,"Sand; gray-brown, fine to medium, trace gravel and silt, medium dense, moist.",Sand,SW,Dense
78,47.54045329,-122.3889415,205.5,1,202.5,5.0,2,205.399999999,199.5,"Silty sand with gravel; brown, fine to medium, trace organics, loose, slightly moist.",Fill,Fill,
78,47.54045329,-122.3889415,205.5,2,197.5,20.0,3,199.5,192.5,"Sand with silt; brown mottled gray, fine to coarse, trace gravel, medium dense, moist.",Sand,SW,Medium Dense
